cohort_axis,cohort_value,n_samples,n_failures,event_rate,roc_auc
age_band,0-3,62273,8122,0.130426,0.593053
age_band,11-15,46259,17807,0.384941,0.653001
age_band,15+,29145,11999,0.411700,0.678560
age_band,3-5,18759,2939,0.156671,0.623353
age_band,6-10,71892,18185,0.252949,0.655353
mileage_band,0-30k,183532,44521,0.242579,0.714961
mileage_band,100k+,12084,5042,0.417246,0.647138
mileage_band,30k-60k,16489,3890,0.235915,0.648298
mileage_band,60k-100k,16223,5599,0.345127,0.665592
make,AUDI,11561,2300,0.198945,0.696703
make,BMW,12432,2449,0.196992,0.672466
make,CITROEN,7040,2430,0.345170,0.692436
make,FIAT,5065,1544,0.304837,0.699010
make,FORD,30066,8860,0.294685,0.695127
make,HONDA,6344,1487,0.234395,0.735148
make,HYUNDAI,5912,1453,0.245771,0.708387
make,KIA,6876,1520,0.221059,0.700898
make,LAND ROVER,6141,1308,0.212995,0.684548
make,MERCEDES-BENZ,13185,3021,0.229124,0.683877
make,MINI,5247,1185,0.225843,0.701545
make,NISSAN,10887,3251,0.298613,0.736817
make,OTHER,26671,5726,0.214690,0.715732
make,PEUGEOT,9648,3020,0.313018,0.709976
make,RENAULT,6645,2282,0.343416,0.713951
make,SEAT,3857,890,0.230749,0.684907
make,SKODA,5604,1213,0.216453,0.718039
make,TOYOTA,11515,2702,0.234650,0.716387
make,VAUXHALL,18633,6084,0.326517,0.687552
make,VOLKSWAGEN,20701,5371,0.259456,0.712957
make,VOLVO,4298,956,0.222429,0.706520
prev_cycle_outcome_band,fail,51131,21950,0.429289,0.664248
prev_cycle_outcome_band,first_test,37916,5059,0.133427,0.589824
prev_cycle_outcome_band,pass,138610,31866,0.229897,0.679017
prev_cycle_outcome_band,unknown,671,177,0.263785,0.710286
gap_band,early,10371,2608,0.251470,0.705773
gap_band,first_test,63231,8358,0.132182,0.596538
gap_band,late,8751,3068,0.350589,0.671726
gap_band,on_time,73736,21808,0.295758,0.697132
gap_band,slightly_late,68579,22000,0.320798,0.692843
gap_band,very_late,3660,1210,0.330601,0.666021
has_prior_test_observed,0,37916,5059,0.133427,0.589824
has_prior_test_observed,1,190412,53993,0.283559,0.708218
has_left_truncated_history,0,116318,18629,0.160156,0.634400
has_left_truncated_history,1,112010,40423,0.360887,0.673458
